"training_completed","business_division","department","engagement_score","tenure","leadership_score","overtime","incidents","duration_elearning","time_in_title","delta_trainings_last_year","risk_of_leaving","rating"
1,"WM","GHL",3,16,6.12527655693753,29,1,113,15,4,0.632862200793595,1
1,"WM","GHL",4,11,5.63118607937696,41,1,91,21,4,0.422676917988498,2
1,"SB","GLI",4,9,5.95143391634352,41,2,136,6,5,0.634726557001003,1
1,"SB","GHL",2,12,6.90143247781948,47,2,99,10,5,0.594128670911318,2
1,"IB","AML",3,10,5.03809890417346,47,1,142,15,5,0.585207621155388,3
1,"WM","HDO",4,17,3.51434316808457,53,1,162,23,3,0.546917661110558,2
1,"AM","NAP",3,13,7.85612633144724,57,1,64,13,4,0.75172826495823,2
0,"WM","GHL",3,7,6.28373129129657,43,1,146,22,6,0.623705457667342,2
1,"SB","ZEF",4,11,3.63845262345061,56,1,106,20,5,0.385470954887632,2
1,"AM","ADC",3,10,6.04356867538852,45,1,77,23,5,0.442117021017485,1
1,"SB","POR",3,12,5.06550797232709,19,2,120,22,4,0.402636435672954,1
1,"WM","NAP",4,14,5.66110533412117,46,1,142,4,1,0.43065198334053,2
1,"IB","GLI",3,9,4.45990443955048,42,2,118,26,6,0.363563498150795,3
1,"SB","ADC",2,11,5.92070211034921,57,2,104,12,5,0.44073064014675,3
1,"IB","QHA",3,7,5.27335383514951,36,1,70,11,6,0.431572544800019,2
0,"WM","GHL",3,9,6.02370411053,44,1,124,20,4,0.393082205919958,1
1,"AM","GHL",4,8,4.54211834972637,54,2,73,20,7,0.221025691934937,1
1,"WM","HDO",2,6,5.90568025357817,16,1,75,16,7,0.461877993835619,2
1,"IB","ADC",3,10,5.59974281774739,37,1,98,15,5,0.562147463127041,3
1,"WM","ZEF",3,7,5.83131886704119,49,1,56,15,6,0.402126983373306,1
0,"SB","HDO",4,7,5.25641232077007,51,1,166,12,3,0.453170759150017,1
1,"SB","NAP",3,11,6.08841285650521,44,1,81,14,5,0.470945747215161,2
1,"SB","NAP",4,11,5.00758990141016,53,1,56,16,4,0.24674547066268,1
1,"SB","AML",3,12,6.74210561699076,40,1,149,11,3,0.69845676424978,3
0,"AM","ZEF",4,11,3.99017238227271,57,1,156,16,3,0.334862108557487,2
1,"SB","ZEF",3,12,7.16396204227818,34,1,78,13,4,0.634716882426852,1
0,"WM","ZEF",3,10,6.03706330690595,32,2,129,10,5,0.571936688050806,3
0,"WM","HDO",4,9,6.70038168006508,40,1,163,5,4,0.689307178291735,3
1,"AM","HDO",4,12,7.70096471995734,29,1,92,17,2,0.577026534542964,2
0,"IB","POR",4,9,6.27945074232138,24,1,142,10,3,0.505566927957699,3
0,"WM","QHA",1,15,5.33955093634545,16,2,161,21,5,0.566268728285454,3
1,"IB","ZEF",3,13,5.01159481382796,25,1,140,16,4,0.549765372974685,3
1,"IB","POR",3,11,4.99752108186309,43,1,113,19,4,0.459101901969419,3
0,"WM","ABD",3,12,4.73626504066961,35,2,160,15,5,0.472915181461053,3
1,"IB","ADC",2,11,6.67583585278745,31,1,71,8,5,0.642706047427837,3
1,"IB","NAP",3,9,5.62628833950163,61,1,148,16,5,0.610798968114494,3
0,"SB","ABD",3,13,4.60046564790629,45,2,149,15,4,0.480789006158872,1
1,"SB","GHL",4,8,4.49779363875551,65,1,92,15,5,0.3777400990538,2
1,"AM","QHA",3,11,6.37520229778294,42,1,59,14,5,0.446435500264326,2
1,"AM","ADC",3,9,8.04401735563042,53,1,125,15,3,0.715818496550664,1
1,"WM","GLI",3,9,6.1102463963841,38,1,98,22,5,0.524530819374842,3
1,"AM","NAP",3,11,6.36886106957724,59,1,109,18,4,0.603531170266087,3
1,"IB","GHL",3,7,8.06467287187522,41,2,127,15,5,0.622663385021535,1
1,"IB","HDO",4,10,5.46556479448072,60,1,101,13,3,0.472489039794703,3
1,"WM","AML",3,12,6.13324241053371,28,1,52,11,5,0.630360504558277,1
1,"AM","ABD",3,9,6.32846992600464,35,1,61,21,6,0.39786540002937,3
1,"IB","ZEF",3,11,6.37321091406233,64,1,100,20,5,0.569277181908155,3
1,"AM","NAP",3,13,5.27191641449047,46,1,33,15,5,0.390571122244646,1
1,"AM","AML",4,10,5.7251848682621,41,1,120,9,4,0.471400126024701,1
1,"IB","ZEF",2,7,6.41522794979257,56,2,90,16,7,0.437237149449612,2
0,"IB","HDO",2,9,6.66654446913685,60,2,67,16,6,0.448020934677029,2
1,"IB","ABD",3,11,4.19249929675177,46,2,71,10,5,0.20362907537116,2
0,"IB","POR",4,13,7.09408748148879,24,2,170,10,3,0.715370553087191,3
1,"IB","GHL",3,10,6.74443044189102,55,1,76,14,5,0.684147885165259,1
1,"IB","GLI",3,13,6.00669578417229,55,1,76,12,4,0.637281085852642,1
1,"AM","POR",2,10,4.91015867561636,44,2,49,11,7,0.336752488479455,1
1,"WM","HDO",3,10,5.34769820396212,39,1,86,20,5,0.38325610257941,3
1,"AM","NAP",4,12,4.68674327101413,49,1,123,20,4,0.458751862254816,3
1,"WM","ADC",3,16,7.94005213024938,37,1,99,7,2,0.780114521710801,3
1,"AM","AML",3,13,4.85684007273738,32,1,109,22,4,0.478077009561981,2
1,"WM","GHL",3,10,5.63093508424155,67,1,111,16,5,0.494834656688193,3
1,"SB","GLI",3,10,6.0175926233519,37,1,125,20,5,0.565646614230351,1
1,"AM","NAP",2,13,6.67442745807203,55,1,71,13,5,0.489283678483729,1
0,"AM","ZEF",3,7,6.79505621016729,43,2,115,19,6,0.54794583860753,2
0,"AM","ABD",3,13,6.60759279897813,60,2,191,9,2,0.63530759621602,2
1,"WM","ADC",3,12,5.82445351554941,36,2,150,23,5,0.61610271476616,2
1,"AM","AML",3,7,5.89362443815126,50,1,110,11,6,0.605098283421414,3
0,"WM","AML",3,9,5.52871860015534,47,2,136,9,5,0.40623280078334,2
1,"WM","GLI",3,7,6.92635242874017,60,1,175,14,4,0.571881810862222,3
1,"WM","ZEF",3,9,8.3401008811668,44,1,129,14,3,0.730320803434532,3
0,"AM","ADC",3,12,5.19116141969149,53,2,151,22,5,0.374823496085539,3
1,"WM","ABD",3,10,5.47759034703365,49,1,98,15,4,0.586826937297863,2
1,"SB","NAP",3,11,7.65867624191086,54,1,90,17,3,0.629613228286628,3
0,"SB","AML",2,10,6.15978033228656,33,2,137,22,5,0.476446328551974,2
1,"IB","HDO",3,9,7.12973901985851,40,2,123,10,5,0.656641902144159,2
1,"AM","HDO",3,13,7.29428312525215,42,1,108,14,5,0.793947236574432,3
1,"IB","GHL",3,8,6.52347948943778,46,1,186,8,5,0.779184445554467,3
1,"WM","POR",4,12,3.90773759690067,43,1,70,8,4,0.328090360809395,3
1,"AM","ADC",4,10,2.7445316658258,41,1,167,18,5,0.480893871374778,2
1,"WM","QHA",3,12,3.99154651048955,37,1,173,21,4,0.494502939167092,3
0,"WM","ZEF",3,14,4.86308058768595,53,2,209,14,3,0.583455875500169,2
1,"IB","HDO",2,12,6.771716715248,58,1,71,10,5,0.745323462258626,2
0,"SB","ZEF",3,12,6.93885126433824,72,2,125,6,6,0.677440520365491,3
1,"SB","HDO",4,9,4.97226314897082,18,1,92,20,5,0.422290502862694,1
1,"IB","GLI",4,13,2.42241494862326,58,2,150,27,4,0.225330290917226,2
1,"AM","NAP",3,6,5.87700503990901,28,1,133,17,6,0.554408639971715,3
1,"SB","NAP",3,10,7.69896550178195,20,2,110,12,5,0.797184819691385,2
1,"IB","AML",3,10,3.79561550601988,12,1,122,19,5,0.384319350342846,3
1,"WM","POR",4,13,7.68233375250373,41,1,151,6,1,0.691408412395646,1
1,"SB","AML",3,8,5.00098848931616,54,1,91,14,5,0.413959583439506,2
1,"WM","AML",2,13,8.78288324496905,38,1,97,7,4,0.832770744633326,2
1,"AM","ABD",3,11,5.69867685040345,53,1,74,17,5,0.428621347429265,1
1,"WM","QHA",2,13,8.34271284872633,59,1,99,18,4,0.798337151142961,2
0,"SB","POR",3,8,3.7198222481103,43,1,188,18,5,0.462710144549774,2
1,"AM","HDO",4,13,4.16879611058211,21,2,106,25,5,0.32735080378282,3
1,"AM","GLI",3,11,6.76376114119006,30,2,115,8,5,0.575543351216553,3
0,"IB","QHA",4,10,5.51870078206733,43,2,174,11,3,0.485530172142513,1
1,"WM","ABD",4,11,7.01086412968046,45,1,95,18,2,0.499693876143309,3
0,"AM","HDO",3,9,4.3580644122303,66,1,167,14,5,0.502170384567526,3
0,"AM","NAP",3,10,4.44576217197167,32,2,149,13,5,0.455140164499355,1
1,"WM","GLI",3,12,6.35958367096765,45,2,130,15,5,0.697181101866123,2
1,"WM","NAP",4,12,6.73763065568717,38,1,44,16,5,0.524077340015098,1
1,"SB","GLI",4,9,7.34116373999182,22,1,126,16,4,0.684478695756821,1
1,"IB","POR",3,11,3.50575004077683,41,1,149,19,5,0.439696845910385,1
1,"WM","ABD",3,6,6.10247738634925,45,1,80,15,6,0.516708477136015,3
1,"AM","QHA",3,10,6.54403265120039,49,1,106,16,5,0.584915597642394,2
0,"IB","AML",4,11,4.68573067371328,24,1,214,10,3,0.54992079740374,3
1,"SB","ABD",3,13,6.11775946225587,44,1,118,17,4,0.633182654029455,2
0,"AM","GHL",3,12,7.32002292479907,34,2,131,9,4,0.656068041779303,1
1,"AM","GLI",4,6,3.29353189463666,33,1,145,21,6,0.36521370519019,3
1,"WM","ABD",4,8,3.50106098777868,40,1,117,19,6,0.327198072979333,3
1,"WM","GHL",3,10,8.85153626084524,18,1,119,12,3,0.791743094506032,3
1,"WM","AML",3,7,5.88886318841869,46,1,54,19,6,0.293788633675194,3
0,"SB","QHA",4,7,7.09462536528033,48,2,189,8,4,0.635013986403973,2
0,"WM","AML",3,11,3.44229120396893,47,2,126,15,5,0.283906738486385,1
1,"WM","ADC",4,10,4.79006676342864,51,1,127,27,5,0.390855050824758,1
1,"AM","POR",2,14,6.64534666763971,57,1,113,10,4,0.72953159043991,2
0,"SB","POR",3,11,6.9187198508049,28,1,162,12,3,0.608806232238117,3
1,"WM","GHL",3,8,7.38380373035191,23,2,173,6,5,0.697964585947886,3
1,"WM","AML",4,9,7.28009360933895,30,1,175,13,2,0.676898632151242,3
1,"AM","GHL",3,9,3.86709140514662,17,1,135,21,5,0.388837276242538,3
0,"IB","ZEF",1,15,5.83768936832093,42,2,144,19,6,0.727584599587602,2
1,"AM","ZEF",3,14,7.56694076250549,29,1,137,10,3,0.81293229385543,1
1,"IB","NAP",2,8,5.89722118334377,39,1,92,15,5,0.405265808542998,3
1,"AM","ADC",4,13,4.12798815559756,25,1,136,17,4,0.45551570747769,2
1,"WM","AML",3,9,6.34574910802811,55,2,91,18,6,0.505465358532369,2
0,"IB","ADC",3,11,3.92092034338059,53,1,182,16,4,0.450666936419814,3
0,"AM","GHL",3,14,4.09713884836142,30,2,140,17,4,0.335863699124231,3
1,"AM","GHL",3,11,6.43387292814743,42,1,58,12,6,0.729633550324924,1
0,"IB","HDO",4,12,3.91235140817831,57,2,101,19,6,0.316711737910225,1
1,"SB","ZEF",3,9,6.35958986601026,42,1,121,10,5,0.615155674187352,2
1,"SB","QHA",4,15,4.82096836360809,32,1,100,23,5,0.504593933738789,2
0,"IB","QHA",3,15,3.99200572206496,20,1,147,20,4,0.427671591155606,3
1,"AM","AML",3,14,5.17596556438472,41,1,88,10,3,0.351581615890568,1
1,"AM","ZEF",3,11,6.30930038620688,17,1,139,12,3,0.655579161824684,1
1,"SB","QHA",3,14,7.91801667014541,36,1,93,10,3,0.792539492439876,3
1,"SB","NAP",4,11,6.68542310966377,44,1,99,17,4,0.67535700638003,3
1,"WM","ZEF",3,15,6.37433207824091,38,1,90,13,3,0.603666737290444,2
1,"SB","GHL",3,10,6.98533947536005,40,2,87,6,5,0.469531040461801,3
1,"AM","GLI",3,10,6.79236644270393,59,2,98,12,5,0.545680409153116,1
1,"AM","ABD",3,12,6.35534325055555,31,1,81,5,5,0.594853965318703,1
0,"WM","AML",3,7,5.82393202359201,26,1,171,13,4,0.417476302278617,3
1,"IB","ZEF",2,13,7.12387446928831,57,1,92,12,4,0.595648615879345,1
1,"AM","GLI",3,13,6.12482232143095,47,1,76,13,3,0.58145250038971,2
0,"WM","ZEF",3,13,2.12301653138363,43,1,170,8,4,0.30589492268452,2
0,"WM","QHA",3,10,8.13049548747775,29,2,126,6,4,0.704014577832416,1
0,"WM","POR",2,8,5.34563856348744,39,2,145,22,6,0.457913337529497,2
1,"WM","ABD",3,11,6.22636452016486,40,1,77,9,5,0.596755691804113,3
1,"WM","QHA",3,10,8.39607679369987,34,1,180,13,3,0.861869923307666,1
1,"SB","NAP",3,9,4.66161647643202,43,1,96,14,5,0.405362843041962,3
0,"WM","QHA",3,6,3.69006247326735,54,1,140,20,5,0.290719661804591,2
1,"SB","POR",3,14,5.7796125828709,55,1,79,15,4,0.589098723264789,3
1,"SB","QHA",3,12,5.15115723793565,40,1,64,12,4,0.450668903636883,3
1,"WM","AML",4,14,5.50768376948555,47,1,103,21,3,0.527157714626776,1
0,"AM","ABD",3,10,6.21240870320617,13,1,137,22,5,0.558178405088254,1
1,"WM","POR",3,12,7.40795910477894,53,1,90,17,4,0.602525548454,3
1,"IB","ADC",3,9,4.60040174708198,43,2,85,20,7,0.347167094522839,1
1,"AM","ZEF",3,14,5.28849174403472,47,2,117,22,5,0.523066151282889,3
0,"WM","POR",2,12,5.75541411219423,24,2,133,21,5,0.46949849176837,2
1,"AM","HDO",2,14,7.07108787803073,49,1,156,3,2,0.64242766513141,1
1,"AM","QHA",3,14,7.5673093263534,51,2,57,7,4,0.56131775289229,2
1,"AM","ABD",4,8,6.57658320578295,44,1,117,15,4,0.596486281072818,3
0,"IB","POR",3,10,5.36815423724495,15,2,136,14,5,0.481640238374555,1
1,"WM","GLI",3,8,6.36830926421564,40,2,128,19,6,0.559765265674455,1
1,"AM","AML",3,12,6.68898894820384,35,1,150,8,3,0.638671232217963,3
0,"AM","ZEF",3,12,5.07006502558252,45,2,157,11,4,0.461307730006369,3
1,"AM","QHA",4,10,7.00473727507766,48,1,120,9,3,0.544746526773875,2
1,"SB","GHL",5,12,7.66962000778431,62,1,115,11,1,0.571835817739205,2
0,"AM","GHL",3,11,5.21877946941253,53,2,106,10,6,0.54123789620699,2
0,"AM","ABD",2,11,4.08247811553015,28,1,159,12,5,0.503443880801057,2
1,"SB","ZEF",4,7,4.21763635637197,48,1,76,19,6,0.280240068073507,2
1,"WM","NAP",3,11,7.59475349319971,21,2,121,9,4,0.60546568444712,3
1,"WM","GLI",3,7,6.78175692964274,44,1,53,10,6,0.524483752969015,3
1,"AM","HDO",4,7,2.93057886224861,55,1,184,21,6,0.431662570293905,3
0,"SB","AML",3,11,3.94973971584378,28,1,209,15,4,0.478530433030957,3
0,"SB","AML",3,11,5.5625654727277,43,2,118,15,5,0.497161310011475,3
