training_completed,business_division,department,engagement_score,tenure,leadership_score,overtime,incidents,duration_elearning,time_in_title,delta_trainings_last_year,risk_of_leaving,leadership_score2,date,id
1,WM,GHL,3.0,16.0,6.125276556937531,29.0,1.0,113.0,15.0,4.0,0.6328622007935952,0.3181695018705173,2019-02-26,1
1,WM,GHL,4.0,11.0,5.631186079376961,41.0,1.0,91.0,21.0,4.0,0.42267691798849777,-0.37921454268523413,2019-02-14,2
1,SB,GLI,4.0,9.0,5.951433916343518,41.0,2.0,136.0,6.0,5.0,0.6347265570010032,0.07279929272933305,2019-01-10,3
1,SB,GHL,2.0,12.0,6.901432477819481,47.0,2.0,99.0,10.0,5.0,0.5941286709113184,1.4136748392389982,2019-01-16,4
1,IB,AML,3.0,10.0,5.038098904173457,47.0,1.0,142.0,15.0,5.0,0.5852076211553883,-1.2163274841441392,2019-02-07,5
1,WM,HDO,4.0,17.0,3.514343168084569,53.0,1.0,162.0,23.0,3.0,0.5469176611105577,-3.367032641214129,2019-02-08,6
1,AM,NAP,3.0,13.0,7.8561263314472365,57.0,1.0,64.0,13.0,4.0,0.7517282649582301,2.7611775562364556,2019-03-08,7
0,WM,GHL,3.0,7.0,6.283731291296571,43.0,1.0,146.0,22.0,6.0,0.6237054576673419,0.5418204495105012,2019-03-17,8
1,SB,ZEF,4.0,11.0,3.6384526234506076,56.0,1.0,106.0,20.0,5.0,0.38547095488763206,-3.1918583403895013,2019-02-28,9
1,AM,ADC,3.0,10.0,6.043568675388523,45.0,1.0,77.0,23.0,5.0,0.4421170210174853,0.20284290584288178,2019-03-30,10
1,SB,POR,3.0,12.0,5.065507972327092,19.0,2.0,120.0,22.0,4.0,0.402636435672954,-1.1776409526795804,2019-03-21,11
1,WM,NAP,4.0,14.0,5.661105334121173,46.0,1.0,142.0,4.0,1.0,0.43065198334053023,-0.336985008154173,2019-02-06,12
1,IB,GLI,3.0,9.0,4.459904439550482,42.0,2.0,118.0,26.0,6.0,0.3635634981507954,-2.0324201080484032,2019-01-05,13
1,SB,ADC,2.0,11.0,5.920702110349211,57.0,2.0,104.0,12.0,5.0,0.4407306401467495,0.02942288267053872,2019-03-22,14
